time,avg_wind_speed,wind_direction_degrees,wind_direction
"00:00:00","4.60","190.40",S
"01:00:00",3.71,"189.00",S
"02:00:00",3.79,"187.60",S
"03:00:00",3.54,"185.80",S
"04:00:00",3.49,"182.00",S
"05:00:00",2.68,176.67,S
"06:00:00",3.79,165.75,S
"07:00:00",3.49,"161.20",S
"08:00:00",4.15,150.25,SE
"09:00:00",3.57,158.67,S
10:00:00,3.44,"151.50",SE
11:00:00,3.52,"148.40",SE
12:00:00,"3.90","140.00",SE
13:00:00,3.83,"126.20",SE
14:00:00,5.12,"191.00",S
15:00:00,3.82,"174.00",S
16:00:00,4.16,"178.00",S
17:00:00,4.21,"183.00",S
18:00:00,4.78,168.75,S
19:00:00,"4.10",177.33,S
20:00:00,5.07,"178.50",S
21:00:00,5.52,"183.80",S
22:00:00,5.39,"187.40",S
23:00:00,4.96,"187.80",S
